Codmundv_A;nomemun_A;Codmundv_B;nomemun_B;VAR01;VAR02;VAR03;VAR04
4314407;Pelotas;4315602;Rio Grande;111;127;238;43
3520509;Indaiatuba;3550308;São Paulo;109;129;238;86
2800308;Aracaju;3550308;São Paulo;100;137;237;1697
2611101;Petrolina;2918407;Juazeiro;114;122;236;19
4205407;Florianópolis;4211900;Palhoça;102;131;233;23
2211001;Teresina;2304400;Fortaleza;100;132;232;495
2408102;Natal;2611606;Recife;99;133;232;258
4313409;Novo Hamburgo;4318705;São Leopoldo;104;127;231;8
2303709;Caucaia;2304400;Fortaleza;102;129;231;16
4202404;Blumenau;4209102;Joinville;99;130;229;77
3515004;Embu;3550308;São Paulo;105;121;226;20
2611606;Recife;2704302;Maceió;91;135;226;190
3505708;Barueri;5300108;Brasília;63;163;226;860
3550308;São Paulo;3551009;São Vicente;98;127;225;39
3106200;Belo Horizonte;3157807;Santa Luzia;95;130;225;20
4106902;Curitiba;4205407;Florianópolis;96;124;220;251
5002704;Campo Grande;5103403;Cuiabá;93;127;220;562
2611606;Recife;5300108;Brasília;50;170;220;1613
3516200;Franca;3550308;São Paulo;79;139;218;353
4314902;Porto Alegre;4323002;Viamão;96;121;217;18
3304557;Rio de Janeiro;3548500;Santos;96;121;217;333
2905701;Camaçari;2927408;Salvador;102;113;215;36
4101804;Araucária;4106902;Curitiba;97;118;215;20
5103403;Cuiabá;5107602;Rondonópolis;94;121;215;180
4106902;Curitiba;4118204;Paranaguá;102;112;214;76
2304400;Fortaleza;2927408;Salvador;82;132;214;1020
2607901;Jaboatão dos Guararapes;3550308;São Paulo;100;113;213;2061
3106200;Belo Horizonte;3205309;Vitória;99;113;212;385
3550308;São Paulo;4304606;Canoas;96;116;212;814
3106200;Belo Horizonte;3170206;Uberlândia;96;116;212;466
3526902;Limeira;3550308;São Paulo;95;117;212;142
3205200;Vila Velha;3550308;São Paulo;90;122;212;732
3205002;Serra;3304557;Rio de Janeiro;99;110;209;428
4205407;Florianópolis;4209102;Joinville;80;127;207;149
4305108;Caxias do Sul;4307906;Farroupilha;91;115;206;18
3205002;Serra;3205200;Vila Velha;87;119;206;24
4304630;Capão da Canoa;4314902;Porto Alegre;98;107;205;116
3505708;Barueri;3534401;Osasco;78;126;204;9
3529005;Marília;3550308;São Paulo;96;107;203;370
3523107;Itaquaquecetuba;3550308;São Paulo;99;103;202;36
2700300;Arapiraca;2704302;Maceió;93;108;201;105
5002704;Campo Grande;5003702;Dourados;90;111;201;200
3304557;Rio de Janeiro;5208707;Goiânia;87;114;201;947
4104808;Cascavel;4106902;Curitiba;87;114;201;422
4314902;Porto Alegre;4316907;Santa Maria;80;120;200;257
3106200;Belo Horizonte;4106902;Curitiba;68;131;199;806
4300604;Alvorada;4314902;Porto Alegre;92;106;198;13
1501402;Belém;3304557;Rio de Janeiro;85;113;198;2432
2507507;João Pessoa;3550308;São Paulo;84;114;198;2156
3502804;Araçatuba;3550308;São Paulo;94;103;197;470
3550308;São Paulo;4313409;Novo Hamburgo;81;115;196;791
3541000;Praia Grande;3548500;Santos;89;106;195;13
2111300;São Luís;2304400;Fortaleza;81;114;195;647
3106200;Belo Horizonte;3144805;Nova Lima;86;108;194;18
3524006;Itupeva;3550308;São Paulo;90;102;192;69
3136702;Juiz de Fora;3304557;Rio de Janeiro;79;113;192;125
3523909;Itu;3550308;São Paulo;89;102;191;78
3106200;Belo Horizonte;4314902;Porto Alegre;62;128;190;1308
3505708;Barueri;4106902;Curitiba;73;116;189;322
1100205;Porto Velho;3550308;São Paulo;85;103;188;2358
3504107;Atibaia;3550308;São Paulo;86;100;186;60
3136702;Juiz de Fora;3550308;São Paulo;83;103;186;396
3510609;Carapicuíba;3550308;São Paulo;83;103;186;24
4106902;Curitiba;4202404;Blumenau;80;106;186;169
4314902;Porto Alegre;4315602;Rio Grande;78;107;185;243
3170107;Uberaba;3550308;São Paulo;75;110;185;451
3503208;Araraquara;3550308;São Paulo;82;102;184;258
3524402;Jacareí;3550308;São Paulo;74;110;184;81
3550308;São Paulo;4119905;Ponta Grossa;82;101;183;387
3538105;Pindorama;3545605;Santa Adélia;2;181;183;12
3106200;Belo Horizonte;3167202;Sete Lagoas;87;95;182;58
3300407;Barra Mansa;3306305;Volta Redonda;86;96;182;11
4104808;Cascavel;4108304;Foz do Iguaçu;85;97;182;122
3106200;Belo Horizonte;3136702;Juiz de Fora;84;98;182;216
3106200;Belo Horizonte;3154606;Ribeirão das Neves;71;111;182;19
3201308;Cariacica;3205200;Vila Velha;84;97;181;12
3304557;Rio de Janeiro;3306305;Volta Redonda;83;98;181;96
4204608;Criciúma;4218707;Tubarão;86;94;180;39
2800308;Aracaju;2927408;Salvador;84;96;180;276
2903201;Barreiras;2919553;Luís Eduardo magalhães;83;97;180;92
3509502;Campinas;3525904;Jundiaí;80;100;180;35
1302603;Manaus;1501402;Belém;78;102;180;1305
3543402;Ribeirão Preto;3549805;São José do Rio Preto;83;96;179;171
3505708;Barueri;4314902;Porto Alegre;69;110;179;830
2105302;Imperatriz;2111300;São Luís;65;114;179;486
3106200;Belo Horizonte;3505708;Barueri;63;116;179;495
2304400;Fortaleza;2312908;Sobral;82;96;178;203
4314100;Passo Fundo;4314902;Porto Alegre;72;106;178;230
2800308;Aracaju;2804805;Nossa Senhora do Socorro;65;112;177;6
3505708;Barueri;3509502;Campinas;73;103;176;70
1100205;Porto Velho;1302603;Manaus;73;103;176;759
3304557;Rio de Janeiro;3548807;São Caetano do Sul;31;145;176;346
3304557;Rio de Janeiro;4205407;Florianópolis;81;94;175;729
3543402;Ribeirão Preto;3551702;Sertãozinho;77;97;174;20
3529401;Mauá;3547809;Santo André;84;89;173;8
3201308;Cariacica;3550308;São Paulo;80;93;173;730
2604106;Caruaru;2612505;Santa Cruz do Capibaribe;78;95;173;43
3522505;Itapevi;3550308;São Paulo;80;92;172;32
3528858;Marapoama;3556008;Urupês;2;169;171;18
4208906;Jaraguá do Sul;4209102;Joinville;80;89;169;31
3106705;Betim;3118601;Contagem;77;92;169;12
3524402;Jacareí;3549904;São José dos Campos;69;100;169;15
3513504;Cubatão;3550308;São Paulo;79;89;168;35
4202404;Blumenau;4205407;Florianópolis;76;92;168;90
3507605;Bragança Paulista;3550308;São Paulo;73;95;168;79
3549904;São José dos Campos;3554102;Taubaté;80;87;167;38
3302403;Macaé;3550308;São Paulo;76;91;167;504
2913606;Ilhéus;2914802;Itabuna;80;86;166;17
3302007;Itaguaí;3304557;Rio de Janeiro;79;87;166;57
3501608;Americana;3545803;Santa Bárbara d'Oeste;74;92;166;8
4104204;Campo Largo;4106902;Curitiba;74;91;165;24
3509502;Campinas;5300108;Brasília;29;136;165;791
3304300;Rio Bonito;3304557;Rio de Janeiro;81;83;164;68
1721000;Palmas;3550308;São Paulo;75;89;164;1481
3547809;Santo André;3548807;São Caetano do Sul;72;92;164;5
2408102;Natal;2507507;João Pessoa;65;98;163;158
3511102;Catanduva;3552601;Tabapuã;4;159;163;21
3119401;Coronel Fabriciano;3131307;Ipatinga;74;88;162;10
4202404;Blumenau;4202909;Brusque;76;84;160;23
3550308;São Paulo;4216602;São José;74;86;160;478
3301009;Campos dos Goytacazes;3304557;Rio de Janeiro;68;92;160;232
5002704;Campo Grande;5300108;Brasília;39;121;160;891
3543907;Rio Claro;3550308;São Paulo;73;86;159;166
2111300;São Luís;2211001;Teresina;70;89;159;325
3535002;Palestina;3545605;Santa Adélia;1;158;159;118
3550308;São Paulo;5201405;Aparecida de Goiânia;68;90;158;809
5103403;Cuiabá;5300108;Brasília;45;113;158;876
1302603;Manaus;5300108;Brasília;29;129;158;1893
1600303;Macapá;1600600;Santana;77;80;157;13
2408102;Natal;3304557;Rio de Janeiro;67;90;157;2046
1501402;Belém;2304400;Fortaleza;52;105;157;1129
3509502;Campinas;3543402;Ribeirão Preto;71;85;156;208
2304285;Eusébio;2304400;Fortaleza;68;88;156;17
3534401;Osasco;4106902;Curitiba;38;118;156;327
2602902;Cabo de Santo Agostinho;2611606;Recife;72;83;155;20
2905701;Camaçari;3550308;São Paulo;66;89;155;1465
3205200;Vila Velha;3304557;Rio de Janeiro;70;84;154;407
1302603;Manaus;1400100;Boa Vista;68;86;154;666
2304202;Crato;2307304;Juazeiro do Norte;71;82;153;11
2211001;Teresina;3550308;São Paulo;68;85;153;2087
2927408;Salvador;2930709;Simões Filho;68;85;153;24
1501402;Belém;2111300;São Luís;40;113;153;484
3106200;Belo Horizonte;3122306;Divinópolis;73;77;150;99
3550308;São Paulo;4104808;Cascavel;68;82;150;699
3516200;Franca;3543402;Ribeirão Preto;67;82;149;79
3550308;São Paulo;5201108;Anápolis;65;83;148;850
4202404;Blumenau;4207502;Indaial;71;76;147;16
4303103;Cachoeirinha;4309209;Gravataí;70;77;147;12
3550308;São Paulo;4118204;Paranaguá;70;76;146;286
3106200;Belo Horizonte;3143302;Montes Claros;70;76;146;351
3518701;Guarujá;3548500;Santos;69;77;146;10
3106705;Betim;3550308;São Paulo;66;80;146;478
3513801;Diadema;3548708;São Bernardo do Campo;66;80;146;5
4103701;Cambé;4113700;Londrina;63;83;146;12
3543303;Ribeirão Pires;3550308;São Paulo;60;86;146;23
4104808;Cascavel;4127700;Toledo;69;76;145;39
3509205;Cajamar;3550308;São Paulo;67;78;145;40
2111300;São Luís;3304557;Rio de Janeiro;64;81;145;2253
3106200;Belo Horizonte;3131307;Ipatinga;69;75;144;158
2610707;Paulista;2611606;Recife;66;78;144;22
1501402;Belém;1600303;Macapá;61;83;144;337
2112209;Timon;2211001;Teresina;68;75;143;8
3522208;Itapecerica da Serra;3550308;São Paulo;65;76;141;21
4202008;Balneário Camboriú;4202404;Blumenau;66;74;140;39
3536505;Paulínia;3550308;São Paulo;64;75;139;111
3507506;Botucatu;3550308;São Paulo;61;78;139;201
3303500;Nova Iguaçu;3550308;São Paulo;56;83;139;338
3106200;Belo Horizonte;3534401;Osasco;27;112;139;492
3534401;Osasco;5300108;Brasília;23;116;139;864
3509502;Campinas;3520509;Indaiatuba;67;71;138;29
2910800;Feira de Santana;3550308;São Paulo;58;80;138;1469
4302105;Bento Gonçalves;4305108;Caxias do Sul;66;71;137;33
1501402;Belém;1502400;Castanhal;63;74;137;59
3503208;Araraquara;3548906;São Carlos;51;86;137;39
2919207;Lauro de Freitas;3550308;São Paulo;64;72;136;1448
3501608;Americana;3509502;Campinas;58;78;136;34
2800308;Aracaju;3304557;Rio de Janeiro;53;83;136;1462
3530607;Moji das Cruzes;3552502;Suzano;63;72;135;12
3304557;Rio de Janeiro;3543402;Ribeirão Preto;57;78;135;511
5201405;Aparecida de Goiânia;5300108;Brasília;53;82;135;182
3103504;Araguari;3170206;Uberlândia;65;69;134;29
4304408;Canela;4309100;Gramado;62;72;134;12
3548708;São Bernardo do Campo;3548807;São Caetano do Sul;58;76;134;12
3509502;Campinas;3534401;Osasco;38;96;134;75
4309100;Gramado;4314902;Porto Alegre;62;71;133;78
3304557;Rio de Janeiro;3306008;Três Rios;62;70;132;90
3509502;Campinas;3556206;Valinhos;61;71;132;10
3522307;Itapetininga;3550308;São Paulo;58;74;132;143
3304557;Rio de Janeiro;3548708;São Bernardo do Campo;56;76;132;350
2927408;Salvador;2933307;Vitória da Conquista;47;84;131;328
3509502;Campinas;4314902;Porto Alegre;36;95;131;882
4314902;Porto Alegre;4323804;Xangri-lá;63;67;130;113
5103403;Cuiabá;5107909;Sinop;62;68;130;414
3301009;Campos dos Goytacazes;3302403;Macaé;62;68;130;86
3304557;Rio de Janeiro;3549904;São José dos Campos;49;81;130;270
4106902;Curitiba;4208203;Itajaí;62;67;129;175
1100122;Ji-Paraná;1100205;Porto Velho;60;69;129;322
4216602;São José;4314902;Porto Alegre;59;70;129;364
2304400;Fortaleza;2507507;João Pessoa;45;83;128;555
3304557;Rio de Janeiro;5002704;Campo Grande;58;69;127;1230
3530706;Mogi Guaçu;3530805;Moji-Mirim;58;69;127;12
2704302;Maceió;2800308;Aracaju;52;75;127;202
3170206;Uberlândia;5300108;Brasília;42;85;127;344
3303203;Nilópolis;3304557;Rio de Janeiro;54;72;126;19
1501402;Belém;5300108;Brasília;24;102;126;1597
4202404;Blumenau;4208203;Itajaí;59;66;125;32
3306305;Volta Redonda;3550308;São Paulo;58;67;125;289
3503901;Arujá;3550308;São Paulo;52;73;125;44
4202008;Balneário Camboriú;4208302;Itapema;59;64;123;12
3552205;Sorocaba;3557006;Votorantim;56;67;123;12
3304904;São Gonçalo;3550308;São Paulo;42;81;123;377
3534401;Osasco;4314902;Porto Alegre;28;95;123;832
4104808;Cascavel;4115200;Maringá;58;64;122;230
3545803;Santa Bárbara d'Oeste;3550308;São Paulo;57;65;122;126
3170206;Uberlândia;3304557;Rio de Janeiro;56;66;122;671
2607208;Ipojuca;2611606;Recife;56;66;122;34
3118601;Contagem;3304557;Rio de Janeiro;50;72;122;339
1721000;Palmas;5300108;Brasília;43;79;122;605
2111300;São Luís;5300108;Brasília;22;100;122;1519
3106200;Belo Horizonte;5208707;Goiânia;57;64;121;672
2927408;Salvador;3106200;Belo Horizonte;55;66;121;951
3304557;Rio de Janeiro;5103403;Cuiabá;54;67;121;1623
2304400;Fortaleza;2408003;Mossoró;56;64;120;205
4204608;Criciúma;4207007;Içara;55;64;119;11
1100205;Porto Velho;1200401;Rio Branco;57;61;118;452
4101507;Arapongas;4113700;Londrina;56;62;118;32
3550308;São Paulo;4108304;Foz do Iguaçu;54;64;118;810
3148004;Patos de Minas;3170206;Uberlândia;54;64;118;189
3509502;Campinas;4106902;Curitiba;51;67;118;358
2704302;Maceió;3304557;Rio de Janeiro;47;71;118;1643
5221858;Valparaíso de Goiás;5300108;Brasília;55;62;117;29
3505708;Barueri;3547304;Santana de Parnaíba;55;62;117;9
3550308;São Paulo;3552403;Sumaré;54;63;117;112
3550308;São Paulo;3556206;Valinhos;52;65;117;83
4314902;Porto Alegre;4316808;Santa Cruz do Sul;47;70;117;124
3304557;Rio de Janeiro;4113700;Londrina;39;78;117;807
5212501;Luziânia;5300108;Brasília;55;61;116;50
4202008;Balneário Camboriú;4205407;Florianópolis;55;61;116;69
4106902;Curitiba;4107652;Fazenda Rio Grande;55;61;116;25
3550308;São Paulo;5008305;Três Lagoas;53;63;116;623
3170701;Varginha;3550308;São Paulo;54;61;115;269
4115200;Maringá;4126256;Sarandi;52;63;115;6
5103403;Cuiabá;5208707;Goiânia;51;64;115;736
1100106;Guajará-Mirim;1100205;Porto Velho;56;57;113;272
3550308;São Paulo;3556701;Vinhedo;53;60;113;77
3303401;Nova Friburgo;3304557;Rio de Janeiro;53;60;113;96
3304557;Rio de Janeiro;3305802;Teresópolis;50;63;113;57
4209102;Joinville;4314902;Porto Alegre;41;72;113;473
3543402;Ribeirão Preto;5300108;Brasília;25;88;113;592
3127701;Governador Valadares;3131307;Ipatinga;54;58;112;94
3509502;Campinas;3538709;Piracicaba;51;61;112;63
3538006;Pindamonhangaba;3550308;São Paulo;50;62;112;145
2211001;Teresina;5300108;Brasília;18;94;112;1302
5208707;Goiânia;5218805;Rio Verde;53;58;111;213
3509502;Campinas;3548500;Santos;53;58;111;132
3509502;Campinas;3518800;Guarulhos;52;59;111;78
3502804;Araçatuba;3506508;Birigui;52;59;111;15
5208707;Goiânia;5221403;Trindade;45;66;111;24
3151800;Poços de Caldas;3550308;São Paulo;45;66;111;209
3205309;Vitória;5300108;Brasília;27;84;111;961
2927408;Salvador;3534401;Osasco;24;87;111;1428
1721000;Palmas;5208707;Goiânia;53;57;110;707
3515707;Ferraz de Vasconcelos;3550308;São Paulo;52;58;110;31
3518404;Guaratinguetá;3550308;São Paulo;50;60;110;177
3300704;Cabo Frio;3304557;Rio de Janeiro;50;60;110;122
3510500;Caraguatatuba;3550308;São Paulo;48;62;110;122
3106200;Belo Horizonte;3156700;Sabará;48;62;110;17
3509007;Caieiras;3550308;São Paulo;40;70;110;33
4205407;Florianópolis;5300108;Brasília;23;87;110;1306
2603454;Camaragibe;2611606;Recife;50;59;109;14
3301009;Campos dos Goytacazes;3550308;São Paulo;49;60;109;578
3504107;Atibaia;3507605;Bragança Paulista;53;55;108;19
3509502;Campinas;3552403;Sumaré;50;58;108;23
3303906;Petrópolis;3550308;São Paulo;42;66;108;370
5201108;Anápolis;5300108;Brasília;39;69;108;124
3503703;Ariranha;3545605;Santa Adélia;3;105;108;6
3170206;Uberlândia;5208707;Goiânia;51;56;107;268
4109807;Ibiporã;4113700;Londrina;50;57;107;11
3131307;Ipatinga;3168705;Timóteo;51;55;106;16
4314902;Porto Alegre;4321600;Tramandaí;50;56;106;101
3201308;Cariacica;3205002;Serra;47;59;106;20
4204608;Criciúma;4205407;Florianópolis;42;64;106;147
2611606;Recife;4314902;Porto Alegre;32;74;106;2838
2804805;Nossa Senhora do Socorro;2925808;Queimadas;1;105;106;270
4215000;Rio Negrinho;4215802;São Bento do Sul;50;55;105;14
3170206;Uberlândia;3543402;Ribeirão Preto;47;58;105;254
2408102;Natal;5300108;Brasília;17;88;105;1732
3205309;Vitória;4208203;Itajaí;51;53;104;1103
5103403;Cuiabá;5107958;Tangará da Serra;49;55;104;182
3304557;Rio de Janeiro;3547809;Santo André;43;61;104;343
4106902;Curitiba;4216602;São José;47;56;103;245
3300100;Angra dos Reis;3304557;Rio de Janeiro;47;56;103;105
2304400;Fortaleza;2307700;Maranguape;46;57;103;21
3518800;Guarulhos;4314902;Porto Alegre;42;61;103;852
4202404;Blumenau;4314902;Porto Alegre;41;62;103;399
3509502;Campinas;3519071;Hortolândia;50;52;102;17
3550308;São Paulo;4101804;Araucária;49;53;102;348
4106902;Curitiba;4108304;Foz do Iguaçu;47;55;102;523
2611101;Petrolina;2611606;Recife;47;55;102;632
2611606;Recife;2800308;Aracaju;46;56;102;386
4304606;Canoas;4313409;Novo Hamburgo;45;57;102;25
3550308;São Paulo;4204202;Chapecó;48;53;101;698
4311403;Lajeado;4316808;Santa Cruz do Sul;47;54;101;50
3523404;Itatiba;3550308;São Paulo;46;55;101;74
3501608;Americana;3538709;Piracicaba;45;56;101;32
3503307;Araras;3550308;São Paulo;48;52;100;161
2611606;Recife;3505708;Barueri;38;62;100;2066
4307005;Erechim;4314100;Passo Fundo;48;51;99;70
3550308;São Paulo;4318705;São Leopoldo;47;52;99;798
4302105;Bento Gonçalves;4314902;Porto Alegre;47;52;99;103
3301702;Duque de Caxias;3303906;Petrópolis;45;54;99;28
4208203;Itajaí;4209102;Joinville;43;56;99;74
3106200;Belo Horizonte;3205002;Serra;47;51;98;384
4316808;Santa Cruz do Sul;4322608;Venâncio Aires;44;54;98;27
3301702;Duque de Caxias;3305109;São João de Meriti;43;55;98;7
3525003;Jandira;3550308;São Paulo;37;61;98;29
1100205;Porto Velho;5300108;Brasília;24;74;98;1855
4209102;Joinville;4216206;São Francisco do Sul;46;51;97;24
3303500;Nova Iguaçu;3305109;São João de Meriti;45;52;97;11
3530805;Moji-Mirim;3550308;São Paulo;44;53;97;139
3304557;Rio de Janeiro;3547304;Santana de Parnaíba;46;50;96;378
3300407;Barra Mansa;3304557;Rio de Janeiro;44;52;96;104
2208007;Picos;2211001;Teresina;44;52;96;264
3505708;Barueri;3518800;Guarulhos;34;62;96;33
2927408;Salvador;4314902;Porto Alegre;31;65;96;2215
3518800;Guarulhos;5300108;Brasília;26;70;96;857
3518800;Guarulhos;4106902;Curitiba;46;49;95;351
1504208;Marabá;1505536;Parauapebas;44;51;95;109
1302603;Manaus;3505708;Barueri;40;55;95;2596
2927408;Salvador;3505708;Barueri;34;61;95;1431
2704302;Maceió;5300108;Brasília;18;77;95;1458
3522703;Itápolis;3545605;Santa Adélia;1;94;95;39
4201406;Araranguá;4204608;Criciúma;46;48;94;33
